Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2012/01,3775882,2429255,349799,426669,21111,37391,141500,112406,19492,7782,2834,295,5371,3145,198140,5872,0,14644,176
2012/02,3269473,2135559,310493,379783,17872,32249,104006,86988,15318,6786,1675,123,4978,2681,154931,4832,0,11057,142
2012/03,3678404,2381663,359729,422335,19810,36393,126337,105661,16777,6604,1726,246,5306,3190,176908,4305,0,11327,87
2012/04,4060902,2515632,406831,479945,21313,38513,195652,133794,19164,7904,2197,218,7636,2812,210604,6475,0,12029,183
2012/05,4031573,2379984,395255,522241,22394,39795,249386,144855,21420,8337,1751,239,7825,2842,210730,7802,0,16439,278
2012/06,4024475,2460935,388895,502671,20691,34235,216817,147844,18258,7562,1805,169,6874,2457,191777,7112,0,16202,171
2012/07,4627696,2673705,466746,601576,25859,47874,303219,186855,26916,9821,2725,272,8978,2654,237700,8816,0,23468,512
2012/08,4307862,2641732,418167,537385,21374,38837,227890,158346,21895,7996,2022,198,7076,2576,195739,7251,0,19109,269
2012/09,3689287,2275012,341938,471843,22025,38327,172760,126752,16933,7242,2029,204,6899,2762,175977,7722,0,20669,193
2012/10,3876827,2419733,358667,478707,24659,37662,143522,138435,19710,6323,2351,235,6484,3178,203357,9207,0,24462,135
2012/11,3735333,2424231,335262,438828,24997,33097,115920,127119,18331,5837,1960,202,4118,2854,181995,6827,0,13703,52
2012/12,3782344,2532210,334012,414428,24272,32646,109843,123306,16821,6003,1960,158,3461,2683,162796,4877,0,12854,14
2013/01,3468648,2329505,298417,389326,19831,30027,100163,106007,15900,6483,1306,210,4167,2871,147223,4924,0,12161,127
2013/02,3887372,2530420,351327,435387,23046,34932,145368,125019,20567,8235,2464,203,5479,2808,183523,5622,0,12763,209
2013/03,4034494,2690074,359584,451786,24768,35719,127350,128358,16865,6280,2274,236,6212,3068,162930,5128,0,13761,101
2013/04,4202195,2686120,400126,484270,26188,36002,186975,141554,17579,6272,2191,266,6764,2887,183150,7460,0,14198,193
2013/05,4011538,2473203,369389,486210,25052,38131,238151,141333,18818,7553,2167,236,7067,2849,183623,5682,0,11958,116
2013/06,4407990,2726121,396867,545263,23884,39033,254003,165642,20006,7506,2179,220,7846,2631,188584,9488,0,18579,138
2013/07,4851559,2905768,477007,603692,24887,40115,301989,200704,24873,6421,2708,303,7826,2680,219084,8258,0,24911,333
2013/08,4755251,2949228,458028,565062,25823,40047,247365,193000,26901,6486,2047,253,7561,2638,199618,7930,0,23078,186
